Date,Open,High,Low,Close,Volume,Range,Return_%,H>=L,Valid_Range,EMH,EML,ExpRange
2025-03-10,20147.0,20156.5,19272.25,19452.75,776380,884.25,-3.84087791495199,True,True,20491.5,19723.5,768.0
2025-03-11,19440.0,19686.75,19139.25,19399.0,838258,547.5,-0.2763105473519212,True,True,19784.5,18968.75,815.75
2025-03-12,19412.75,19788.75,19387.0,19618.5,683826,401.75,1.13150162379505,True,True,19757.25,18919.5,837.75
2025-03-13,19572.0,19694.0,19170.0,19249.0,728587,524.0,-1.883426357774554,True,True,19898.75,19089.5,809.25
2025-03-14,19312.75,19742.5,19296.75,19712.0,742663,445.75,2.405319756870483,True,True,19638.5,18851.25,787.25
2025-03-17,19668.25,19959.25,19550.5,19831.75,584953,408.75,0.6074979707792139,True,True,19988.5,19224.0,764.5
2025-03-18,19821.0,19858.0,19397.75,19496.75,360195,460.25,-1.689210483189829,True,True,20133.0,19377.75,755.25
2025-03-19,19496.75,19935.0,19455.5,19746.75,210518,479.5,1.28226499288342,True,True,19799.75,19079.5,720.25
2025-03-20,19746.75,19898.75,19530.25,19678.5,116159,368.5,-0.3456264954992627,True,True,20054.75,19335.0,719.75
2025-03-21,19898.5,19977.5,19602.25,19961.0,593033,375.25,1.43557689864573,True,True,20194.5,19518.75,675.75
2025-03-24,20050.5,20409.5,20050.5,20374.25,547257,359.0,2.070287059766551,True,True,20338.5,19726.75,611.75
2025-03-25,20353.0,20524.75,20293.0,20488.5,465835,231.75,0.5607568376750027,True,True,20634.0,20045.5,588.5
2025-03-26,20511.5,20536.75,20045.0,20116.5,610815,491.75,-1.815652683212532,True,True,20773.0,20204.0,569.0
2025-03-27,20046.0,20199.5,19937.25,19990.25,624835,262.25,-0.6275942634156095,True,True,20307.5,19746.0,561.5
2025-03-28,19995.25,20011.75,19357.5,19457.0,683770,654.25,-2.667550430835031,True,True,20248.25,19725.5,522.75
2025-03-31,19319.75,19489.75,18976.75,19439.5,829003,513.0,-0.08994192321529759,True,True,19566.25,19014.75,551.5
2025-04-01,19411.25,19644.0,19261.25,19604.5,783583,382.75,0.8487872630468907,True,True,19678.5,19108.5,570.0
2025-04-02,19600.5,20044.25,19076.75,19758.0,829640,967.5,0.7829834986865292,True,True,19854.5,19297.75,556.75
2025-04-03,19020.0,19177.0,18614.0,18675.5,871725,563.0,-5.478793400141713,True,True,19341.75,18700.0,641.75
2025-04-04,18660.0,18713.0,17387.5,17539.0,1167302,1325.5,-6.085513105405482,True,True,18994.75,18324.0,670.75
2025-04-07,17100.0,18361.5,16460.0,17563.25,1123813,1901.5,0.1382632989338051,True,True,17457.25,16650.5,806.75
2025-04-08,17665.0,18357.25,16973.5,17243.75,939851,1383.75,-1.819139396182368,True,True,18307.0,17215.5,1091.5
2025-04-09,17220.25,19386.75,16735.0,19288.75,1054725,2651.75,11.85936933671621,True,True,17862.25,16649.0,1213.25
2025-04-10,19266.75,19383.5,17919.0,18484.5,952611,1464.5,-4.169528870455574,True,True,20142.0,18597.5,1544.5
2025-04-11,18464.75,18873.5,18067.0,18807.5,660101,806.5,1.747409992155591,True,True,19340.0,17657.25,1682.75
2025-04-14,19225.0,19256.0,18737.5,18934.75,564494,518.5,0.6765917851920822,True,True,20140.25,18417.5,1722.75
2025-04-15,18902.5,19144.75,18809.0,18960.25,520354,335.75,0.1346730218249492,True,True,19981.5,18185.75,1795.75
2025-04-16,18790.0,18861.25,18116.25,18385.25,674475,745.0,-3.032660434329715,True,True,19761.25,18073.25,1688.0
2025-04-17,18391.25,18652.75,18261.5,18380.75,623226,391.25,-0.02447614255993713,True,True,19362.5,17649.75,1712.75
2025-04-21,18306.25,18383.5,17700.0,17922.25,473552,683.5,-2.494457516695459,True,True,19277.5,17692.25,1585.25
2025-04-22,17914.0,18514.0,17863.75,18385.0,610215,650.25,2.581986078756859,True,True,18776.75,17324.5,1452.25
2025-04-23,18646.0,19165.5,18623.75,18804.0,724101,541.75,2.279031819417998,True,True,19403.75,18127.5,1276.25
2025-04-24,18826.5,19418.0,18594.75,19322.0,590015,823.25,2.754733035524359,True,True,19224.5,18308.0,916.5
2025-04-25,19405.0,19589.0,19216.25,19535.25,580630,372.75,1.103664216954758,True,True,19835.75,19006.5,829.25
2025-04-28,19524.5,19623.0,19257.25,19528.0,505671,365.75,-0.03711239938061217,True,True,19896.25,19126.0,770.25
2025-04-29,19478.25,19688.5,19378.0,19642.0,561158,310.5,0.583777140516184,True,True,19829.5,19064.75,764.75
2025-04-30,19599.75,19880.0,19103.75,19658.5,705432,776.25,0.08400366561449601,True,True,19948.25,19186.25,762.0
2025-05-01,19834.0,20125.75,19757.25,19870.75,581491,368.5,1.079685632169292,True,True,20208.25,19467.75,740.5
2025-05-02,19782.5,20276.75,19749.5,20195.25,509436,527.25,1.633053608947832,True,True,20141.5,19316.5,825.0
2025-05-05,20181.5,20201.75,19966.0,20055.5,407810,235.75,-0.6919944046248516,True,True,20540.5,20181.5,359.0
2025-05-06,20014.25,20036.75,19739.0,19876.5,509449,297.75,-0.8925232479868317,True,True,20362.75,19853.5,509.25
2025-05-07,19809.0,20133.75,19678.75,19961.0,587037,455.0,0.4251251477875861,True,True,20154.5,19627.25,527.25
2025-05-08,19934.5,20337.25,19910.75,20148.0,558866,426.5,0.9368268122839529,True,True,20244.0,19752.75,491.25
2025-05-09,20157.0,20288.75,20058.0,20136.75,447068,230.75,-0.05583680762358822,True,True,20471.75,19975.25,496.5
2025-05-12,20398.5,20996.0,20376.75,20948.75,624543,619.25,4.032428271692301,True,True,20724.25,20225.0,499.25
2025-05-13,20954.75,21346.5,20818.0,21278.0,516681,528.5,1.571692821767412,True,True,21315.5,20781.25,534.25
2025-05-14,21250.0,21419.5,21238.25,21392.5,504584,181.25,0.53811448444403,True,True,21582.5,21076.5,506.0
2025-05-15,21379.75,21529.75,21192.0,21400.25,535259,337.75,0.03622764987729621,True,True,21691.0,21206.25,484.75
2025-05-16,21396.0,21512.0,21320.25,21506.0,406833,191.75,0.4941531056880111,True,True,21685.75,21222.5,463.25
2025-05-19,21310.75,21544.5,21112.5,21527.0,503589,432.0,0.09764716823212893,True,True,21577.75,21130.75,447.0
2025-05-20,21513.0,21562.25,21298.0,21447.25,431762,264.25,-0.3704649974450636,True,True,21783.5,21355.75,427.75
2025-05-21,21414.75,21558.5,21072.75,21156.75,597625,485.75,-1.354486006364453,True,True,21679.5,21246.0,433.5
2025-05-22,21145.0,21337.5,21040.0,21178.25,508868,297.5,0.1016224136504817,True,True,21405.5,20922.25,483.25
2025-05-23,21223.75,21236.0,20727.0,20975.0,520254,509.0,-0.959711024281984,True,True,21476.0,20968.0,508.0
2025-05-26,20978.0,21307.75,20954.25,21283.5,87323,353.5,1.470798569725873,True,True,21202.0,20692.0,510.0
2025-05-27,21281.25,21488.5,21141.5,21460.5,437444,347.0,0.8316301360208556,True,True,21485.25,20995.25,490.0
