20250919 012300;24709.25;24710.75;24706;24707.5;45
20250919 012400;24708;24710.5;24708;24710.5;24
20250919 012500;24710.75;24711.25;24708;24708.5;23
20250919 012600;24709;24709;24705.5;24705.5;41
20250919 012700;24706;24710.5;24705;24709;81
20250919 012800;24709;24712.5;24708.75;24712;29
20250919 012900;24711;24713.25;24710.75;24711.75;59
20250919 013000;24711.25;24713;24709.5;24712.75;56
20250919 013100;24713.25;24716.25;24713.25;24714.25;97
20250919 013200;24713.5;24713.5;24710.75;24712;41
20250919 013300;24713.25;24717.75;24712.75;24714;65
20250919 013400;24714.25;24714.25;24710;24712;59
20250919 013500;24711.5;24711.75;24709.5;24711;20
20250919 013600;24710;24712.75;24710;24712.25;34
20250919 013700;24712.25;24714;24711.75;24713.25;30
20250919 013800;24713;24715;24712.5;24714.75;20
20250919 013900;24714.5;24716.75;24713.75;24715.5;41
20250919 014000;24714.75;24715.5;24713;24713;30
20250919 014100;24712.75;24713.5;24711.75;24712.5;26
20250919 014200;24711.75;24713.5;24710.5;24710.5;44
20250919 014300;24711;24713;24711;24713;33
20250919 014400;24712.5;24717.5;24711;24717;76
20250919 014500;24716.25;24717.5;24714.75;24715;36
20250919 014600;24716;24718.75;24714.75;24716.25;72
20250919 014700;24716;24718.25;24715.25;24715.25;51
20250919 014800;24715;24715.5;24710.75;24714.25;88
20250919 014900;24712.75;24712.75;24710;24711;47
20250919 015000;24711.25;24713;24708;24709.5;49
20250919 015100;24710;24710;24706;24707;75
20250919 015200;24707;24709.25;24707;24709.25;26
20250919 015300;24709.75;24714.5;24709.25;24712.75;69
20250919 015400;24712.75;24713.5;24710.75;24713.25;33
20250919 015500;24713;24714.5;24712.75;24714.5;27
20250919 015600;24714.75;24720.25;24714.5;24718;124
20250919 015700;24717.25;24717.5;24715.75;24716.75;45
20250919 015800;24717;24717.25;24714.5;24715.5;14
20250919 015900;24715;24720.25;24715;24719.5;52
20250919 020000;24719;24720.75;24716.5;24716.5;52
20250919 020100;24716.75;24718.75;24715.25;24718.75;56
20250919 020200;24718.75;24722.25;24718.5;24720.75;55
20250919 020300;24721;24722.5;24719.5;24722.5;52
20250919 020400;24722.5;24722.75;24718.75;24718.75;59
20250919 020500;24718.75;24719.5;24714.25;24717;83
20250919 020600;24716.5;24717.25;24714;24715.25;59
20250919 020700;24715.5;24716.5;24711.75;24711.75;47
20250919 020800;24712.25;24716.25;24711.5;24716;63
20250919 020900;24715.5;24716.25;24714.5;24715.25;32
20250919 021000;24714.5;24714.5;24710.5;24713.75;115
20250919 021100;24713;24713.5;24708.5;24710.5;73
20250919 021200;24711.25;24711.75;24710.5;24711;22
20250919 021300;24710.25;24711.25;24707.75;24709.25;61
20250919 021400;24708.75;24709;24706.5;24706.5;66
20250919 021500;24707;24707;24705;24706.25;80
20250919 021600;24706;24710;24701.5;24709.25;242
20250919 021700;24709.75;24712;24708.75;24711.75;65
